sa_code,sa_name,subtype,area_km2,intersection_count,junction_density,street_density_km_km2,avg_street_length_m,dead_end_ratio,circuity_avg,amenity_count,amenity_density,walkability_index
6229c715-0d8f-4fef-8f37-41ed31f55195,جديدة-المكر,locality,9.0918,255.0,28.047161752493547,9.539693520942699,186.9251350964203,0.3253968253968254,1.0483413770916978,104,11.438842440232662,36.06
d0aa5cd1-6b86-47a3-a371-c16cef8be3c1,עין המפרץ,locality,0.7271,8.0,11.002793357701002,20.114833962180715,406.2571164783567,0.8260869565217391,4.108146293449406,8,11.002793357701002,20.01
1ae8a12f-816d-4a7e-89c3-934cb7c8f3f7,כפר מסריק,locality,0.508,26.0,51.184720651508385,33.17653229300927,237.3589718970444,0.675,1.0903665450223858,9,17.717787917829828,50.97
b5498b40-0bd5-4500-8849-5201a75b095d,אפק,locality,0.4752,11.0,23.147300136596716,17.53200899422372,148.77706949345156,0.8472222222222222,1.4091317853583225,6,12.6258000745073,30.23
583110aa-ddc0-4d8b-99ec-b8d90577bdd9,קרית ביאליק,locality,8.48,708.0,83.49068987053789,19.66456467876693,112.6724737468582,0.4636363636363636,1.2864418680828027,1077,127.00490535391145,61.6
8e47cdd9-d024-4631-8338-9f714fcd2bdb,קריית ביאליק,locality,2.4358,340.0,139.58293568648716,29.231219892722397,106.74995361038425,0.4024604569420035,1.0840825221290318,722,296.4084693107169,84.07
65c05662-f1ca-40ef-b92d-31c516078a0c,קריית מוצקין,locality,3.6928,549.0,148.66922506734474,29.784849034693735,85.79434141120238,0.5590361445783133,1.3140941905279535,823,222.8684375781871,79.88
6eea03bd-7aa8-455f-98d8-d31fa0ad8c76,קרית מוצקין,locality,3.8359,589.0,153.54951389552514,30.55943465965515,85.00567071015787,0.5493496557000765,1.2933679095521964,835,217.68055025936076,80.6
fd85e246-9cfd-4dcb-88b5-31dfe38f7060,קריית ים,locality,3.6595,493.0,134.7190175115018,29.515380668477693,99.82495898069416,0.49847405900305186,1.1982877988604947,408,111.4916006991739,78.69
62a6fb56-9c56-4008-8117-011373e190bf,קרית ים,locality,12.7297,616.0,48.39068677041048,14.874244585150375,123.51272120678749,0.6015523932729625,1.1983845238280797,427,33.54354423857999,45.04
1561d8c8-e85a-4c7f-a788-a4fb9c4005e9,רובע קריית חיים - קריית שמואל,locality,6.3267,438.0,69.23061642386548,24.230081897373882,148.54262580163567,0.5413612565445026,1.4473118959177496,493,77.92395866887142,58.29
7980a903-0f7e-40d5-8da0-033e79fcf8e3,רובע מפרץ חיפה,locality,29.8844,1020.0,34.13154756212686,20.07658701105915,224.1226277772315,0.6434813002446697,1.3016821716982507,1642,54.94509911471795,50.69
264d5c3c-d5c3-44fc-baf4-7e92597c7bbd,רובע העיר התחתית,locality,1.9999,399.0,199.51075394690633,78.3446986399727,147.95179553565566,0.6362807657247037,1.2050315129865088,1550,775.0417759842227,81.92
1af57236-9069-453c-8c32-dff8ee2f6797,רובע הכרמל,locality,7.7491,537.0,69.29826669220192,19.101294963845994,91.595337716387,0.7120643431635388,1.1866281035541695,1178,152.01742674751185,58.79
69c3faa6-e286-413f-81d1-7299df430c35,רובע הדר,locality,3.0838,391.0,126.79035839704234,30.13911640210114,99.08734808704412,0.5698569856985699,1.2227570421095868,1211,392.6934118128344,77.02
8a67f28f-c144-4c71-85b4-f45274e55ff3,חיפה,locality,83.1543,4979.0,59.87663723757677,20.654004467674312,125.09791925352623,0.6626465207669896,1.2897310433327756,8552,102.84494911744459,56.4
1d53c7a6-c2ab-43cd-b3c0-8e7c8c3c953f,רובע נווה שאנן - יזרעאליה,locality,3.2967,287.0,87.05630476075653,35.93692480902995,138.89082180847706,0.683920704845815,1.2921152051338003,455,138.0160929133945,68.03
05978cbc-3476-48d4-b3b5-2798a58b84df,קרית אתא,locality,24.1593,1100.0,45.531100050184925,17.718991752716445,187.50706522759864,0.45759368836291914,1.15352060369449,902,37.33550204115164,49.82
5b358dc3-4fa4-47c5-b7b1-06df06842398,כפר ביאליק,locality,0.535,8.0,14.95430929981967,37.3749726169857,327.7741321764966,0.9183673469387755,1.10286196182139,11,20.562175287252046,44.67
